Time,Ecg1
19:36:13.906,-359.0
19:36:13.946,-271.0
19:36:13.986,-392.0
19:36:14.026,-540.0
19:36:14.066,2574.0
19:36:14.106,1283.0
19:36:14.146,-2.0
19:36:10.886,-52.0
19:36:10.926,2520.0
19:36:10.966,1420.0
19:36:11.006,438.0
19:36:11.046,-4.0
19:36:11.086,-6.0
19:36:11.126,169.0
19:36:11.166,107.0
19:36:11.206,-135.0
19:36:11.246,-288.0
19:36:11.286,-308.0
19:36:11.326,-317.0
19:36:11.366,-331.0
19:36:11.406,-297.0
19:36:11.446,-296.0
19:36:11.486,-244.0
19:36:11.526,-183.0
19:36:11.566,-115.0
19:36:11.606,-229.0
19:36:11.646,-507.0
19:36:11.686,2670.0
19:36:11.726,1386.0
19:36:11.766,304.0
19:36:11.806,-150.0
19:36:11.846,-191.0
19:36:11.886,-11.0
19:36:11.926,-44.0
19:36:11.966,-243.0
19:36:12.006,-440.0
19:36:12.046,-482.0
19:36:12.086,-509.0
19:36:12.126,-497.0
19:36:12.166,-450.0
19:36:12.206,-376.0
19:36:12.246,-296.0
19:36:12.286,-212.0
19:36:12.326,-71.0
19:36:12.366,-298.0
19:36:12.406,-435.0
19:36:12.446,891.0
19:36:12.486,1255.0
19:36:12.526,395.0
19:36:12.566,30.0
19:36:12.606,-9.0
19:36:12.646,164.0
19:36:12.686,150.0
19:36:12.726,-122.0
19:36:12.766,-277.0
19:36:12.806,-335.0
19:36:12.846,-308.0
19:36:12.886,-221.0
19:36:12.926,-278.0
19:36:12.966,-311.0
19:36:13.006,-271.0
19:36:13.046,-219.0
19:36:13.086,-159.0
19:36:13.126,-42.0
19:36:13.166,-67.0
19:36:13.206,-199.0
19:36:13.246,3035.0
19:36:13.286,1738.0
19:36:13.326,513.0
19:36:13.366,-39.0
19:36:13.406,-44.0
19:36:13.446,172.0
19:36:13.486,59.0
19:36:13.526,-238.0
19:36:13.566,-417.0
19:36:13.606,-457.0
19:36:13.646,-469.0
19:36:13.686,-424.0
19:36:13.726,-384.0
19:36:13.766,-409.0
19:36:13.806,-421.0
19:36:13.846,-415.0
19:36:13.886,-203.0
19:36:13.926,-230.0
19:36:13.966,-330.0
19:36:14.006,-770.0
19:36:14.046,770.0
19:36:14.086,436.0
19:36:14.126,80.0
19:36:14.166,16.0
19:36:14.206,216.0
19:36:14.246,458.0
19:36:14.286,269.0
19:36:14.326,2.0
19:36:14.366,-97.0
19:36:14.406,-85.0
19:36:14.446,-19.0
19:36:14.486,54.0
19:36:14.526,78.0
19:36:14.566,72.0
19:36:14.606,34.0
19:36:14.646,25.0
19:36:14.686,128.0
19:36:14.726,16.0
19:36:14.766,-124.0
19:36:14.806,-531.0
19:36:14.846,523.0
19:36:19.344,-533.0
19:36:19.384,-463.0
19:36:19.424,-415.0
19:36:19.464,-600.0
19:36:19.504,-724.0
19:36:19.544,-743.0
19:36:19.584,-821.0
19:36:19.624,-826.0
19:36:19.664,-747.0
19:36:19.704,-664.0
19:36:19.744,-663.0
19:36:19.784,-595.0
19:36:19.824,-438.0
19:36:19.864,-55.0
19:36:19.904,65.0
19:36:19.944,5.0
19:36:19.984,-305.0
19:36:20.024,1144.0
19:36:20.064,673.0
19:36:20.104,465.0
19:36:20.144,383.0
19:36:20.184,458.0
19:36:20.224,417.0
19:36:20.264,114.0
19:36:20.304,-307.0
19:36:20.344,-432.0
19:36:20.384,-452.0
